^PRODOTTO^|^DESCRIZIONE^|^COD_CICLO^|^FASE^|^OPERAZIONE^|^CL.MACCHINE^|^CL.OPERATORI LAV.^|^CL.OPERATORI ATTR.^|^ATTREZZATURA^|^T.ATTR.MACCHINA^|^T.ATTR.UOMO^|^T.LAV.MACCHINA^|^T.LAV.UOMO^|^NOTE FASE^|^TERZISTA^|^GG.LAV.EST.^|^DIRECTORY FILE DISEGNO^|^NOME FILE DISEGNO^|^N.OPER.LAV.^|^N.OPER.ATTR.^|^GG.POSTICIPO^|^SCHED.CAP.ILLIM.^|^T.ATTRAVERSAMENTO^|^NUM.IMPRONTE^|^N.RIGA^|^RIGA TESTO FASE^
^E200510^|^CORPO RIDUTTORE grezzo <707>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070700|12000000|12000000|67000|23000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
^E200550^|^FONDELLO MODELLO ORO grezzo <709>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070900|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200550^|^FONDELLO MODELLO ORO grezzo <709>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070900|6000000|6000000|38000|13000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200550^|^FONDELLO MODELLO ORO grezzo <709>^|^2S^|40|^PR^|^ ^|^ ^|^ ^|900070900|0|0|38000|13000|^ ^|26022546|15|^ ^|^ ^|1|0|0|^N^|0|2|^ ^|^ ^
^E200560^|^TESTATA DISTRIBUTORE ORO grezzo <709>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900070900|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200560^|^TESTATA DISTRIBUTORE ORO grezzo <709>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900070900|6000000|6000000|38000|13000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200560^|^TESTATA DISTRIBUTORE ORO grezzo <709>^|^2S^|40|^PR^|^ ^|^ ^|^ ^|900070900|0|0|38000|13000|^ ^|26022546|15|^ ^|^ ^|1|0|0|^N^|0|2|^ ^|^ ^
^E200570^|^CALOTTA MEC80 POSTERIORE APERT A ALTA 3 FORI grezzo <710>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900071000|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200570^|^CALOTTA MEC80 POSTERIORE APERT A ALTA 3 FORI grezzo <710>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900071000|6000000|6000000|33000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200580^|^CALOTTA MEC 80 ANTERIORE APERT A ALTA 4 FORI grezzo <710>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900071000|4500000|4500000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|2|^ ^|^ ^
^E200580^|^CALOTTA MEC 80 ANTERIORE APERT A ALTA 4 FORI grezzo <710>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900071000|6000000|6000000|33000|12000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|2|^ ^|^ ^
^E200590^|^SUPPORTO DI BASE EASY_REVO grezzo <711>^|^ ^|10|^ALPREP^|^A0350^|^ ^|^FOA^|900071100|9000000|9000000|0|0|^ ^|^ ^|0|^ ^|^ ^|0|1|0|^N^|0|1|^ ^|^ ^
^E200590^|^SUPPORTO DI BASE EASY_REVO grezzo <711>^|^ ^|40|^ALAUT^|^A0350^|^FOG^|^FOA^|900071100|12000000|12000000|90000|32000|^ ^|^ ^|7|^ ^|^ ^|1|2|0|^N^|0|1|^ ^|^ ^
